auth_user_id,tipo_usuario,nombre,apellido,fecha_nacimiento,direccion,telefono,especialidad,consultorio
1,administrativo,Agustina,Osorio,1972-08-24,"Callejón de Úrsula Barroso 28, Zamora, 27940",+34 888 536 473,,
2,doctor,Lisandro,Villalobos,2005-09-03,"Plaza Anastasia Santamaría 92 Apt. 73 , Teruel, 20283",+34 985 592 440,Endocrinología,Consultorio 1
3,paciente,María Del Carmen,Nebot,1975-07-29,"C. Gastón Cózar 87 Puerta 4 , Alicante, 42675",+34981990077,,
4,administrativo,Ainara,Llanos,1992-06-16,"Rambla de Lucio Camacho 148, Ávila, 23967",+34 982011930,,
5,doctor,Charo,Carbó,2001-11-21,"Vial de Cruz Carnero 426, Almería, 45310",+34842 440 738,Gastroenterología,Consultorio 6
6,doctor,Jose,Alfaro,1982-06-24,"Plaza de Petrona Fuster 76 Piso 6 , Valencia, 01083",+34 806 134 361,Oftalmología,Consultorio 7
7,administrativo,Santiago,Carbajo,1980-11-22,"Calle Ismael Paredes 38, Huesca, 41111",+34 806771558,,
8,administrativo,Rosaura,Quero,1982-10-02,"Paseo de Quique Vigil 47, Teruel, 24744",+34922 106 046,,
9,administrativo,Leopoldo,Ferrero,1978-04-12,"Paseo de Eleuterio Colomer 76 Apt. 64 , Guipúzcoa, 51632",+34877 09 70 48,,
10,doctor,Ángel,Ibarra,1947-01-27,"Callejón de Mariana Juárez 816, Teruel, 23403",+34 715 10 31 88,Urología,Consultorio 8
11,administrativo,Silvestre,Beltran,1984-01-05,"Acceso Samuel Abascal 55 Apt. 37 , Teruel, 10246",+34883 022 478,,
12,administrativo,Verónica,Alcázar,1950-07-21,"Calle Elvira Fuster 5 Piso 9 , Baleares, 36957",+34976719728,,
13,paciente,Asunción,Mascaró,2001-11-25,"Avenida Eva María Borrell 13 Piso 8 , Baleares, 16147",+34 945 656 157,,
14,administrativo,Dora,Nuñez,1984-07-08,"Pasaje Anselma Gargallo 97, Baleares, 30666",+34888144903,,
15,administrativo,Candelario,Abellán,2003-04-23,"C. de José Ángel Velázquez 70, Huelva, 41310",+34 649 647 633,,
16,administrativo,Candela,Vargas,1950-11-07,"Glorieta Petrona Abascal 79 Apt. 09 , Murcia, 45880",+34 848 73 11 07,,
17,doctor,Onofre,Larrañaga,1982-12-19,"Alameda de Manola Gascón 91 Apt. 07 , Guipúzcoa, 40784",+34 978 91 15 99,Traumatología,Consultorio 10
18,doctor,Anastasio,Riquelme,1975-05-05,"Pasaje Óscar Palma 409 Piso 6 , Segovia, 38422",+34 983 67 82 01,Oftalmología,Consultorio 3
19,doctor,Anastasio,Roura,1998-04-24,"Alameda Dionisia Luís 11, Soria, 40143",+34 983 49 02 97,Psiquiatría,Consultorio 6
20,doctor,Paola,Castellanos,1980-09-21,"Vial Catalina Guitart 467 Apt. 89 , Segovia, 14777",+34901 302 398,Cardiología,Consultorio 5
21,doctor,Sancho,Franch,1964-09-28,"Plaza Cecilio Montalbán 22, Córdoba, 51357",+34617 35 44 49,Urología,Consultorio 5
22,paciente,Azahara,Carlos,1991-11-04,"Pasadizo Jennifer Canals 25, Palencia, 30444",+34 927 41 94 69,,
23,administrativo,Leandra,Aliaga,1962-02-23,"Urbanización Rufina Cabañas 78, Albacete, 37426",+34868 11 03 84,,
24,paciente,Dionisio,Alfaro,1981-07-28,"Callejón de Dionisio Checa 25 Puerta 2 , Córdoba, 18433",+34844 649 058,,
25,administrativo,Aurelio,Castells,1966-10-23,"Glorieta Américo Salazar 92 Puerta 5 , Cáceres, 48243",+34952 248 683,,
26,doctor,Wálter,Sanz,1994-08-25,"Calle de Gisela Aragón 4 Puerta 6 , Zamora, 29746",+34 985 85 58 98,Ginecología,Consultorio 3
27,paciente,Obdulia,González,1965-11-10,"Cuesta de Genoveva Ricart 79, Cuenca, 37156",+34 980 454 793,,
28,doctor,Custodia,Vila,1983-12-05,"C. Dan Tena 71 Puerta 6 , Castellón, 25665",+34944 122 475,Gastroenterología,Consultorio 4
29,paciente,Paola,Atienza,2003-04-04,"Callejón Diego Comas 34 Piso 9 , Huelva, 04610",+34803 90 46 63,,
30,doctor,Jerónimo,Alcaraz,1954-10-24,"Alameda Amanda Alemany 19 Apt. 93 , Burgos, 35416",+34 821 45 99 84,Endocrinología,Consultorio 5
