auth_user_id,tipo_usuario,nombre,apellido,fecha_nacimiento,direccion,telefono,especialidad,consultorio
1,paciente,Gregorio,Coca,1945-02-25,"Cañada Dionisia Alberola 10 Piso 6 , Cádiz, 26384",+34980 70 61 97,,
2,administrativo,Cándida,Toledo,1969-03-11,"Plaza Olivia Castelló 4 Piso 7 , Melilla, 37165",+34 980 97 17 33,,
3,paciente,Albino,Haro,1974-10-28,"C. de Rico Izaguirre 9, Almería, 40046",+34 820 871 697,,
4,doctor,Etelvina,Manzanares,1970-11-28,"Cañada Eva Ramirez 33 Piso 6 , Barcelona, 02284",+34 729797023,Dermatología,Consultorio 9
5,paciente,Angelita,Mas,2006-03-31,"Plaza de Quique Avilés 928, Pontevedra, 08790",+34 820048840,,
6,paciente,Marciano,Sastre,1956-06-26,"Via Nazaret Seguí 9 Apt. 54 , Ceuta, 04651",+34732217141,,
7,administrativo,María Dolores,Jerez,1958-07-27,"Callejón Isaías Vallejo 63 Piso 1 , Málaga, 30602",+34 912949608,,
8,administrativo,Eliana,Gomez,1971-10-19,"Pasadizo Chelo Benavente 610 Puerta 6 , Almería, 29156",+34 732307112,,
9,administrativo,Milagros,Anaya,1978-02-08,"Vial de Estrella Lloret 91, Ourense, 19504",+34 821306242,,
10,paciente,María,Salvador,2007-05-21,"Cuesta Inés Cobo 13 Puerta 2 , Madrid, 23061",+34975 21 91 74,,
11,doctor,Basilio,Correa,1965-01-13,"Ronda Benito Ramírez 52 Piso 0 , León, 51946",+34900 94 94 93,Urología,Consultorio 9
12,doctor,Ariel,Crespo,1981-05-24,"Callejón de Guiomar Mascaró 59, Huesca, 45800",+34824 66 63 77,Endocrinología,Consultorio 9
13,doctor,Herberto,Gisbert,2003-10-08,"Plaza de Paulina Soria 78, Baleares, 02044",+34 946 38 97 93,Pediatría,Consultorio 7
14,paciente,Graciana,Noriega,1993-05-15,"Ronda de Encarnita Caparrós 38 Piso 5 , Albacete, 35305",+34974156630,,
15,doctor,Teófila,Sala,1977-01-23,"Glorieta María Fernanda Vizcaíno 98, Castellón, 40119",+34 877 694 963,Endocrinología,Consultorio 10
16,paciente,Luis,Ribes,1950-07-19,"Rambla Josep Mendoza 76, Almería, 22883",+34807994656,,
17,doctor,Herberto,Ugarte,2003-03-10,"Paseo Fabio Bello 71, Guipúzcoa, 08274",+34 926 937 662,Gastroenterología,Consultorio 9
18,paciente,Emiliana,Monreal,1988-01-13,"Alameda Marcela Luz 72 Puerta 8 , Palencia, 35740",+34 979783652,,
19,paciente,Azucena,Porras,2004-10-18,"Cañada de Nicolás Carreño 76 Apt. 21 , Badajoz, 04116",+34 869 736 287,,
20,paciente,Ángel,Cadenas,1979-08-01,"Vial de René Meléndez 88, Salamanca, 13977",+34900 779 054,,
21,doctor,Baldomero,Mosquera,1971-02-04,"C. de Manuelita Catalá 540, Valencia, 07976",+34900 109 713,Gastroenterología,Consultorio 9
22,paciente,Rafa,González,1991-09-12,"Urbanización Lina Tomé 83, Las Palmas, 27026",+34968258892,,
23,administrativo,Candelas,Soto,1951-06-08,"Pasaje de Lucila Ferrero 4, Palencia, 48330",+34 925 256 621,,
24,paciente,Pío,Castelló,1970-09-10,"Avenida Imelda Riquelme 190 Piso 5 , Lleida, 35681",+34 972 533 755,,
25,administrativo,Leyre,Godoy,1958-06-25,"Callejón de Gaspar Vilalta 95, Guadalajara, 19518",+34872 51 98 44,,
26,paciente,Benigno,Martin,1973-03-02,"Plaza Íñigo Mayol 4, Barcelona, 48114",+34 945633895,,
27,administrativo,Santiago,Gomila,1997-02-27,"Alameda de Goyo Serna 223, Las Palmas, 48059",+34 848343647,,
28,administrativo,Maricela,Acosta,1950-11-25,"Pasadizo Lina Mas 4, Granada, 08427",+34 882878631,,
29,paciente,Encarnacion,Vazquez,1982-05-05,"Pasaje de Albert Farré 30 Piso 7 , Tarragona, 04543",+34 941116755,,
30,doctor,Jordán,Bartolomé,1958-01-07,"Pasaje de Eliseo Segarra 53, Ceuta, 01939",+34922 09 92 87,Endocrinología,Consultorio 8
31,paciente,Agustín,Gabaldón,1993-10-31,"Acceso de Abilio Sierra 762 Piso 0 , Ciudad, 07110",+34 842 758 200,,
32,administrativo,Filomena,Cal,2006-08-17,"Pasaje América Aguado 91 Apt. 61 , Huesca, 34489",+34885 108 253,,
33,paciente,Xiomara,Tejera,1954-12-21,"Avenida Toribio Bermudez 714 Apt. 38 , Vizcaya, 25713",+34 941 40 66 98,,
34,administrativo,Luisina,Ochoa,2002-01-04,"Urbanización de Ángela Valdés 72 Apt. 93 , La Rioja, 35764",+34 807 142 322,,
35,paciente,Roxana,Benitez,1945-01-02,"Callejón de Joan Ibáñez 50 Puerta 0 , Huelva, 21383",+34 847 692 265,,
36,doctor,Felipa,Abellán,2001-08-15,"Via de Olga Aznar 471 Puerta 5 , Álava, 40150",+34976357532,Gastroenterología,Consultorio 10
37,administrativo,Leyre,Lobo,1977-06-09,"Pasaje Manu Vicens 4, Lugo, 41288",+34974 083 106,,
